,id,text
48,1450494500460183553,#SpiderMan2  #Original  #Xbox - Complete  #PAL   #VideoGame  Cased Game https://t.co/AfLK1EWCYA
49,1450442243102359553,"ATTENTION!
NO WAY HOME Leaked POST CREDIT SCENE #NoWayHome
#SpiderManNoWayHomeleaks
#SpiderManNoWayHometrailer
@SpiderMan
#Memes
#RestoreTheSnyderVerse
#SpiderManNoWayHome
#SpiderMan3
#spiderman2
https://t.co/iMq3NmNK5Y"
0,1450342721177141254,@CBMshots The greatest Spider-Man film ever made. #SpiderMan2
1,1450258091858173954,"#Spiderman2 ya know, with the full Bruce Campbell VO? - Also one of my favorite video games EVER

Without revealing your age, post your favorite video game that came out the year you turned 12. https://t.co/qrnTpYeDge https://t.co/QBQnFYhter"
2,1450253980819496961,"Happy birthday, @NajJeter. I can't wait for you to return as Miles in #SpiderMan2 for PS5. - Giovanni De La Cruz 😁"
3,1450231450872262667,Day 37 of asking Insomniac to please add the Captain Universe suit to Spider-Man 2 for either Peter or Miles or both 🙌 #SpiderManPS5 #SpiderMan2 #InsomniacGames https://t.co/FlgmlqE6f2
4,1450176713380573184,@NetflixUK @netflix where is #spiderman2?? How could you leave this out? Preparing for #SpiderManNoWayHome #TobeyMaguire
5,1450120733972119552,@RaggySays hello Jason how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it for 2023 #SpiderManPS5  #Spiderman2  #insomniacgames 🙏🏼🙏🏼🙏🏼🙏🏼🕸️🕷️🕷️🕷️🕷️💯 https://t.co/3pESDyz5Lk
6,1450120372527960068,@AdamNoonchester hello Adam how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it for 2023 🕷️🕷️🕷️🕷️🕸️🕸️🕸️🕸️🙏🏼🙏🏼🙏🏼🙏🏼💪🏻👍🏻 #insomniacgames #SpiderManPS5 #Spiderman2 https://t.co/kmjOizrl5C
7,1450119625539264512,@RyanSmithGD hello ryan how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it for 2023🙏🏼🙏🏼🙏🏼🙏🏼🕸️🕷️🕷️🕷️🕷️ #insomniacgames #SpiderManPS5 #Spiderman2 https://t.co/Cx5BtIKH3M
8,1450116621607919623,@blurayangel Don't forget the games. #SuicideSquadGame #GothamKnights #Spiderman2 #WolverinePS5 https://t.co/6m6XKiqvGk
